Term,Description,Subsystem Tags,Documentation Tags,Associated Acronyms and Alternative Terms,Type
1D,One-dimensional,Gen,,,A
2D,Two-dimensional,Gen,,,A
2MASS,Two-Micron All Sky Survey,Gen,,,A
3D,Three-dimensional,Gen,,,A
A/D,Analogue-to-Digital (converter),Gen,,,A
A2,Anastasia Alexov,Gen,,,A
AA,Authentication and Authorization,TS,Document-11921,,A
AAA,"Authentication, Authorization and Accounting",OPS,,,A
AAAC,Astronomy and Astrophysics Advisory Committee,TS,Document-11921,,A
AAAS,American Association for the Advancement of Science,Gen,,,A
AAL,Astronomy Australia Limited,OPS,,,A
AAPT,American Association of Physics Teachers,TS,Document-11921,,A
AAS,American Astronomical Society,Gen,,,A
AAVSO,American Association of Variable Star Observers,TS,Document-11922,,A
ABI,Application Binary Interface,Gen,,,A
ABOD,AURA Board of Directors,Gen,,,A
AC,Alternating Current,Gen,,,A
AC,Access Control,DM,,,A
ACCS,Auxiliary Camera Control System,LSST DM,,,A
ACGIH,American Conference of Governmental Industrial Hygienists,Gen,,,A
ACI,Application Centric Infrastructure,IT,,,A
ACID,"Atomicity, Consistency, Isolation, and Durability",DM,,,A
ACM,Award Cash Management Service,OPS,,,A
ACP,Access Control Plan,OPS,,,A
ACWP,Actual Cost of Work Performed,Gen,,,A
AD,Associate Director,OPS,,,A
ADAM,"Asteroid Discovery, Analysis, and Mapping",Sci,,,A
Adam,Adaptive Moment Estimation,DM,,,A
ADASS,Astronomical Data Analysis Software and Systems,Gen,,,A
ADC,atmospheric dispersion corrector,TS,Document-11924,,A
ADC,Analogue-to-Digital Converter,Gen,,,A
ADCO,Associate Director for Chilean Operations,TS Gen,Document-11925,,A
ADQL,Astronomical Data Query Language (IVOA standard),VO,,,A
ADS,Astrophysics Data System,OPS Gen,,,A
ADU,Analogue-to-Digital Unit,Gen,,,A
AED,Automated External Defibrillator,OPS,,,A
AEON,Alert Event Observatory Network,OPS Sci,,,A
AES,Advanced Encryption Standard,OPS,,,A
AGN,Active Galactic Nuclei,TS,Document-11927,,A
AGNSC,Active Galactic Nuclei Science Collaboration,Sci,,,A
AGU,American Geophysical Society,TS,Document-11928,,A
AI,Artificial Intelligence,Gen,,,A
AI&T,Assembly Integration and Test,Gen,,,A
AIC,Akaike Information Criterion,Gen,,,A
AIP,American Institute of Physics,Gen,,,A
AISES,American Indian Science and Engineering Society,Gen,,,A
AIT,Assembly Integration and Test,Gen,,,A
AIV,Assembly Integration and Verification,Gen,,,A
AJ,The Astronomical Journal,Sci,,,A
AJO,Academic Jobs Online,OPS,,,A
ALD,Associate Lab Director,OPS DOE,,,A
ALeRCE,Automatic Learning for the Rapid Classification of Events,OPS,,,A
ALICE,A Large Ion Collider Experiment,Gen,,,A
ALMA,Atacama Large Millimeter Array (ESO),Gen,,,A
AMB,Afternoon Mini Bus,TS,,,A
AMCL,AURA Management Council for LSST,LSST,,,A
AMCR,AURA management Council for Rubin Observatory,OPS,,,A
AMD,Advanced Micro Devices,OPS,,,A
AMPATH,Americas Pathway (Network),Gen,,,A
AMPEL,"Alert Management, Photometry, and Evaluation of Light curves",OPS,doi:10.1051/0004-6361/201935634,,A
AMU,Atomic Mass Unit ,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
ANSI,American National Standards Institute,Gen OPS,,,A
ANTARES,Arizona-NOIRLab Temporal Analysis and Response to Events System,OPS,,,A
AOB,Any Other Business,Gen,,,A
AOC, AURA Oversight Council,OPS,,,A
AOS,Active Optics System,TS,,,A
AOSS,AURA Observatory Support Services,OPS,,,A
AP,Alert Production,LSST DM,,,A
APDB,Alert Production DataBase,DM,,,A
API,Application Programming Interface,Gen,,,A
APL,Apache Public License,LSST DM,,,A
APN,Access Point Name,IT,,,A
APS,American Physical Society,TS,Document-11933,,A
APT,Astronomer's Proposal Tool,Sci,,,A
ARAS,Astronomical Ring for Access to Spectroscopy,Sci,,,A
ARC,Advanced Resource Connector,DM,http://www.nordugrid.org/documents/arc6/,,A
ARP,Address Resolution Protocol,IT,,,A
ASAP,As Soon As Possible,Gen,,,A
ASAS-SN,All-Sky Automated Survey for Supernovae,Sci,,,A
ASCII,American Standard Code for Information Interchange,Gen,,,A
ASDC,ASI Science Data Center (Italy),OPS,,,A
ASI,Agenzia Spaziale Italiana,OPS,,,A
ASIC,Application-Specific Integrated Circuit,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
ASP,Astronomical Society of the Pacific,TS,Document-11934,,A
ASPIC,Analog Signal Processing Integrated Circuit,CAM,,,A
AST,NSF Division of Astronomical Sciences,TS,Document-11935,,A
ASTRON,Netherlands Institute for Radio Astronomy,Gen,,,A
AT,Auxiliary Telescope,TS,,,A
AT,Awareness and Training,IT,,,A
ATCA,Advanced Telecommunications Architecture,CAM TS,Document-11936,,A
ATCS,Auxiliary Telescope Control System,TSSW,,,A
ATLAS,A Toroidal LHC Apparatus,Gen,,,A
ATLAS,Asteroid Terrestrial-impact Last Alert System,Sci,,,A
ATM,Adaptavist Test Management,LSST DM,,,A
AU,deprecated acronym for astronomical unit; use au instead,Gen,,,A
AU,Audit and Accountability,IT,,,A
au,astronomical unit,Gen,,,A
AUP,Acceptable Use Policy,IT,,,A
AURA,Association of Universities for Research in Astronomy,Gen,,,A
Avro,is a row-oriented remote procedure call and data serialization framework developed within Apache's Hadoop project,OPS,,,A
AVS,Alert Vetting System,OPS,,,A
AWIS,Association for Women in Science,Gen,,,A
AWS,Amazon Web Services,Gen,,,A
AXS,Astronomy eXtensions for Spark,Sci,,,A
AZ,Azimuth,Gen,,,A
B,Byte (8 bit),Gen,,,A
b,bit,Gen,,,A
BAC,Budget At Complete,Gen,,,A
BAO,Baryon Acoustic Oscillations,Sci,,,A
BCE,Before Common Era,Gen,,,A
BCR,Baseline Change Request,CAM,,,A
BCWP,Budgeted Cost of Work Performed,Gen,,,A
BCWS,Budgeted Cost of Work Scheduled,Gen,,,A
BDC, Base Data Center, DM IT,,,A
BDFL,Benevolent Dictator For Life, DM,,,A
BEE,back-end electronics,TS,Document-11970,,A
BFD,Bidirectional Forwarding Detection,DM,,,A
BGP, Border Gateway Protocol,IT,,,A
BH,Black Hole,Sci,,,A
BHB,Black Hole Binary,Sci,,,A
BHNS,Black hole-neutron star,Sci,,,A
BJD,barycentric corrected Julian date,TS,Document-11981,,A
BNF,Backus-Naur Form,Gen,,,A
BNL,Brookhaven National Laboratory,Gen,,,A
BNS,Binary Neutron Star,Sci,,,A
BOE,Basis of Estimate,Gen,,,A
BOF,Birds of a Feather (Sessions at ADASS),Gen,,,A
BOSS,Baryon Oscillation Spectroscopic Survey,Sci,,,A
BOT,Bench for Optical Testing,CAM,,,A
BPM,Bad pixel mask,DM,,,A
BPS,Batch Production Service,DM,,,A
Bps,Bytes per second,Gen,,,A
bps,bit(s) per second,Gen,,,A
BRDF,Bidirectional Reflectance Distribution Function,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
BSR,Business Systems Review,OPS,,,A
BTS,Base (La Serena) Test Stand,LSST,,,A
BTU,British Thermal Unit,OPS,,,A
CA,Control (or Cost) Account,Gen,,,A
CA,Certificate Authority,DM,,,A
CA,"Certification, Accreditation, and Security Assessments",IT,,,A
CAA,Committee on Astronomy and Astrophysics (NSF),Gen,,,A
CACS,Calibration/Auxiliary Control System,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CAD,Compute Aided Design,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CADC,Canadian Astronomy Data Centre,Gen,,,A
CALTECH,California Institute of Technology,Gen,,,A
CAM,CAMera,DM,,,A
CAM,Control (or Cost) Account Manager,Gen,,,A
CAN,Controller Area Network,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report), http://www.canopen.us/,A
CANFAR,Canadian Advanced Network for Astronomical Research,Gen,,,A
CAOM,Common Archive Observation Model,DM Gen,,,A
CAR,Command/Action/Response,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CARMENES,Calar Alto high-Resolution search for M dwarfs with Exoearths with Near-infrared and optical Echelle Spectrographs,DM Gen,,,A
CARTA,Cube Analysis and Rendering Tool for Astronomy,Sci,,,A
CAS,Central Administrative Services,Adm,,,A
CASA,Common Astronomy Software Applications (for ALMA),Sci,,,A
CASNET,AURA's financial reporting database,Adm,,,A
CB,Configuration Baseline,LSST DM,,,A
CBP,Collimated Beam Projector,DM LSST OPS,,,A
CC,Change Control,Gen,,,A
CC-IN2P3,Centre de Calcul de l'IN2P3,Gen,,,A
CCB,Change Control Board,LSST DM,,,A
CCD,Charge-Coupled Device,Gen,,,A
CCOB,Camera Calibration Optical Bench,LSST DM,,,A
CCP,Change Control Process,Adm,,,A
CCS,Camera Control System,LSST DM,,,A
CCW,Camera Cable Wrap,CAM,,,A
CD,Critical Design,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
CD-4,Critical Decision 4,DOE,,,A
CDF,Cumulative Distribution Function,Sci,,,A
CDM,(Lamda) Cold Dark Matter,Sci,,,A
CDMX,Ciudad de Mexico,Gen,,,A
CDN,Content Delivery Network,DM IT,,,A
CDS,Centre de Donnes astronomiques de Strasbourg,Gen,,,A
CE,Communications Engagement,OPS,,,A
CE,Computing Element,DM,,,A
CEC,International in-kind Contribution Evaluation Committee,LSST,,,A
